episode,timestep,wall_time_s,episode_reward,mean_reward_10ep,mean_reward_50ep,mean_reward_100ep,best_reward_ever,reward_std_10ep,reward_per_step,cumulative_reward,episode_length,distance_covered_m,lane_deviation_m
1,41,6.05,-4.8355,-4.8355,-4.8355,-4.8355,-4.8355,0.0,-0.117938,-4.8355,41,5,0.848866
2,102,14.24,4.0685,-0.3835,-0.3835,-0.3835,4.0685,4.452,0.066697,-0.767,61,10,0.500694
3,143,20.11,-0.7868,-0.5179,-0.5179,-0.5179,4.0685,3.64,-0.019191,-1.5538,41,4,0.305092
4,204,26.89,3.7699,0.554,0.554,0.554,4.0685,3.6585,0.061802,2.2161,61,5,0.237008
5,262,34.29,1.3018,0.7036,0.7036,0.7036,4.0685,3.2859,0.022444,3.5179,58,5,0.925441
6,343,41.47,0.564,0.6803,0.6803,0.6803,4.0685,3.0,0.006964,4.0819,81,5,0.562227
7,404,48.66,5.6755,1.3939,1.3939,1.3939,5.6755,3.2817,0.09304,9.7574,61,5,0.251114
8,465,54.95,10.3605,2.5147,2.5147,2.5147,10.3605,4.2682,0.169844,20.1179,61,8,0.316719
9,534,61.25,0.2283,2.2607,2.2607,2.2607,10.3605,4.0877,0.003308,20.3461,69,4,0.531787
10,611,69.5,0.6902,2.1036,2.1036,2.1036,10.3605,3.9065,0.008964,21.0364,77,5,0.482268
11,672,77.47,-3.3796,2.2492,1.6052,1.6052,10.3605,3.6648,-0.055403,17.6568,61,5,0.793407
12,747,83.33,8.1172,2.6541,2.1478,2.1478,10.3605,4.0471,0.108229,25.774,75,5,0.357175
13,808,90.86,3.9747,3.1302,2.2884,2.2884,10.3605,3.8914,0.065159,29.7486,61,5,0.255602
14,889,98.78,2.045,2.9577,2.271,2.271,10.3605,3.8974,0.025247,31.7936,81,6,0.689845
15,950,106.03,-2.1551,2.6121,1.9759,1.9759,10.3605,4.1726,-0.03533,29.6385,61,4,0.457565
16,1013,110.22,-0.4138,2.5143,1.8265,1.8265,10.3605,4.2305,-0.006569,29.2247,63,2,0.334105
17,1054,117.72,3.4275,2.2895,1.9207,1.9207,10.3605,4.1147,0.083599,32.6522,41,6,0.433079
18,1111,126.43,-2.4795,1.0055,1.6763,1.6763,10.3605,3.323,-0.043501,30.1727,57,5,0.707911
19,1231,137.15,9.0718,1.8898,2.0655,2.0655,10.3605,4.0873,0.075599,39.2445,120,12,0.957236
20,1294,143.61,-1.7942,1.6414,1.8725,1.8725,10.3605,4.2258,-0.028479,37.4504,63,6,0.504258
21,1353,149.97,1.8721,2.1666,1.8725,1.8725,10.3605,3.8815,0.03173,39.3225,59,5,0.475311
22,1408,156.07,0.913,1.4462,1.8289,1.8289,10.3605,3.3412,0.0166,40.2355,55,5,0.370565
23,1455,160.89,-3.9482,0.6539,1.5777,1.5777,10.3605,3.5786,-0.084005,36.2872,47,4,0.581241
24,1536,168.85,2.6104,0.7104,1.6207,1.6207,10.3605,3.6045,0.032228,38.8977,81,5,0.527877
